코  드,품      명,규격,단위,재료비,노무비,경비,합계
58CD44473821DFEDE33489D2B85014C7B455D6,불도저(무한궤도),7ton,대,,,"73,892.00","73,892.00"
58CD44473821DFEDE33489D2B8471C6E443B6B,불도저(무한궤도),10ton,대,,,"161,250.00","161,250.00"
58CD44473821DFEDE33489D2B8471E1C20630D,불도저(무한궤도),12ton,대,,,"185,580.00","185,580.00"
58CD44473821DFEDE33489D2B847153FF69872,불도저(무한궤도),19ton,대,,,"189,332.00","189,332.00"
58CD44473821DFEDE33489D2B8621BD11E04CB,불도저(무한궤도),32ton,대,,,"256,354.00","256,354.00"
58CD44473821DFEDE337851D2BBF18EBE53B5A,불도저(타이어),15ton,대,,,"154,841.00","154,841.00"
58CD44473821DFEDE337851D2B8211F93C4A9A,불도저(타이어),28ton,대,,,"286,114.00","286,114.00"
58CD44473821DFEDE337851D2B9313F513BCC0,불도저(타이어),33ton,대,,,"362,697.00","362,697.00"
58CD44473821DFEDE33684AE0E2813CE341FC6,유압식 리퍼,16ton,대,,,"13,479.00","13,479.00"
58CD44473821DFEDE33684AE0E281C2A386603,유압식 리퍼,19ton,대,,,"17,033.00","17,033.00"
58CD44473821DFEDE33684AE0E1F1D02E15000,유압식 리퍼,23ton,대,,,"18,880.00","18,880.00"
58CD44473821DFEDE33684AE0E1F19A7B0B2C3,유압식 리퍼,27ton,대,,,"21,988.00","21,988.00"
58CD44473821DFEDE33684AE0E0D1552B41ACD,유압식 리퍼,32ton,대,,,"26,705.00","26,705.00"
58CD44473821DFEDC309855B25F41CE9515DAE,습지 불도저,4ton,대,,,"43,260.00","43,260.00"
58CD44473821DFEDC309855B25EA12AADBAB37,습지 불도저,13ton,대,,,"162,028.00","162,028.00"
58CD44473821DFD3738D8CF71EE31F97E7072F,굴착기(무한궤도),0.12㎥,대,,,"44,250.00","44,250.00"
58CD44473821DFD3738D8CF71ED116C0915713,굴착기(무한궤도),0.2㎥,대,,,"64,267.00","64,267.00"
58CD44473821DFD3738D8CF71EB61864C9FC08,굴착기(무한궤도),0.4㎥,대,,,"82,625.00","82,625.00"
58CD44473821DFD3738D8CF71E9B1BAFABA446,굴착기(무한궤도),0.6㎥,대,,,"109,310.00","109,310.00"
58CD44473821DFD3738D8CF71E8914852923E3,굴착기(무한궤도),0.7㎥,대,,,"115,116.00","115,116.00"
58CD44473821DFD3738D8CF71E781D9352F8DD,굴착기(무한궤도),0.8㎥,대,,,"127,443.00","127,443.00"
58CD44473821DFD3738D8CF70C831A727BBD2D,굴착기(무한궤도),1.0㎥,대,,,"138,873.00","138,873.00"
58CD44473821DFD3738D8CF70CAE1786FBB71F,굴착기(무한궤도),1.2㎥,대,,,"176,857.00","176,857.00"
58CD44473821DFD3738D8CF739C919B1E609AB,굴착기(무한궤도),2.0㎥,대,,,"303,694.00","303,694.00"
58CD44473821DFD363E4897EDF581EE44B079D,굴착기(타이어),0.18㎥,대,,,"68,088.00","68,088.00"
58CD44473821DFD363E4897EDF231290E1F3B7,굴착기(타이어),0.6㎥,대,,,"116,118.00","116,118.00"
58CD44473821DFD363E4897EDFC315DD9A33DD,굴착기(타이어),0.8㎥,대,,,"135,400.00","135,400.00"
58CD44473821DFD363E4897ECED81E8C72486A,굴착기(타이어),1.0㎥,대,,,"140,633.00","140,633.00"
58CD44473821DFD353DE84C809E81C24F4E8EF,습지 굴착기(무한궤도),0.4㎥,대,,,"97,533.00","97,533.00"
58CD44473821DFD353DE84C809DE15BAA3B2F1,습지 굴착기(무한궤도),0.7㎥,대,,,"157,234.00","157,234.00"
58CD44473821DFD3433882AD78AA1CA8653DA2,대형 브레이커,0.2㎥용,대,,,"4,434.00","4,434.00"
58CD44473821DFD3433882AD78AA1AFB90E77F,대형 브레이커,0.4㎥용,대,,,"8,125.00","8,125.00"
58CD44473821DFD3433882AD78AA18CD956DE7,대형 브레이커,0.6㎥용,대,,,"13,787.00","13,787.00"
58CD44473821DFD3433882AD78AA19D4861D09,대형 브레이커,0.7㎥용,대,,,"16,817.00","16,817.00"
58CD44473821DFD3433882AD78AA160069DA88,대형 브레이커,0.8㎥용,대,,,"22,031.00","22,031.00"
58CD44473821DFD3433882AD78BB1547F14670,대형 브레이커,1.0㎥용,대,,,"27,909.00","27,909.00"
58CD44473821DFD34339830221801316495BBD,대형 브레이커용 치즐,0.4㎥용,본,,,"204,000.00","204,000.00"
58CD44473821DFD34339830221801042EBE1E7,대형 브레이커용 치즐,0.7㎥용,본,,,"216,000.00","216,000.00"
58CD44473821DFD33311800561031A74D07DE6,유압식 진동 콤팩터(굴착기부착용),0.7㎥용,대,,,"11,386.00","11,386.00"
