코  드,품      명,규      격,단위,재 료 비,노 무 비,경    비,합    계,번  호,비      고,노임계수,할증,품셈개요,장비일위
58CD44473821DFFE430081,  [☞☞ 토공장비]*****,,,0.0,0.0,0.0,,호표 1,,A,,,
58CD44473821DFFE430181,  [☞☞ 기계경비 및 손료 산정],,,0.0,0.0,0.0,,호표 2,,,,,
58CD44473821DFEDE33481,  (☞ 불도저(무한궤도))----------,,,0.0,0.0,0.0,,호표 3,,,,,
58CD44473821DFEDE33489D2B85014C7B455D659,불도저(무한궤도),7ton,HR,"14,055.0","57,077.0","13,381.0","84,513.0",호표 4,,A,,,T
58CD44473821DFEDE33489D2B85014C7B455D658,불도저(무한궤도),7ton(암석),HR,"14,055.0","57,077.0","15,842.0","86,974.0",호표 5,,A,,,T
58CD44473821DFEDE33489D2B85014C7B455D65B,불도저(무한궤도),7ton(전석),HR,"14,055.0","57,077.0","14,364.0","85,496.0",호표 6,,A,,,T
58CD44473821DFEDE33489D2B8471C6E443B6B98,불도저(무한궤도),10ton,HR,"19,522.0","57,077.0","29,202.0","105,801.0",호표 7,,A,,,T
58CD44473821DFEDE33489D2B8471C6E443B6B99,불도저(무한궤도),10ton(암석),HR,"19,522.0","57,077.0","34,572.0","111,171.0",호표 8,,A,,,T
58CD44473821DFEDE33489D2B8471C6E443B6B9A,불도저(무한궤도),10ton(전석),HR,"19,522.0","57,077.0","31,347.0","107,946.0",호표 9,,A,,,T
58CD44473821DFEDE33489D2B8471E1C20630D52,불도저(무한궤도),12ton,HR,"22,801.0","57,077.0","33,608.0","113,486.0",호표 10,,A,,,T
58CD44473821DFEDE33489D2B8471E1C20630D53,불도저(무한궤도),12ton(암석),HR,"22,801.0","57,077.0","39,788.0","119,666.0",호표 11,,A,,,T
58CD44473821DFEDE33489D2B8471E1C20630D50,불도저(무한궤도),12ton(전석),HR,"22,801.0","57,077.0","36,076.0","115,954.0",호표 12,,A,,,T
58CD44473821DFEDE33489D2B847153FF698720C,불도저(무한궤도),19ton,HR,"39,044.0","57,077.0","34,288.0","130,409.0",호표 13,,A,,,T
58CD44473821DFEDE33489D2B8621BD11E04CBA5,불도저(무한궤도),32ton,HR,"64,969.0","57,077.0","46,425.0","168,471.0",호표 14,,A,,,T
58CD44473821DFEDE33781,  (☞ 불도져(타이어))----------,,,0.0,0.0,0.0,,호표 15,,,,,
58CD44473821DFEDE337851D2BBF18EBE53B5AF7,불도저(타이어),15ton,HR,"38,775.0","57,077.0","26,756.0","122,608.0",호표 16,,A,,,T
58CD44473821DFEDE337851D2BBF18EBE53B5AF6,불도저(타이어),15ton(암석),HR,"38,775.0","57,077.0","31,603.0","127,455.0",호표 17,,A,,,T
58CD44473821DFEDE337851D2BBF18EBE53B5AF5,불도저(타이어),15ton(전석),HR,"38,775.0","57,077.0","28,692.0","124,544.0",호표 18,,A,,,T
58CD44473821DFEDE337851D2B8211F93C4A9A17,불도저(타이어),28ton,HR,"72,703.0","57,077.0","49,440.0","179,220.0",호표 19,,A,,,T
58CD44473821DFEDE337851D2B8211F93C4A9A16,불도저(타이어),28ton(암석),HR,"72,703.0","57,077.0","58,395.0","188,175.0",호표 20,,A,,,T
58CD44473821DFEDE337851D2B8211F93C4A9A15,불도저(타이어),28ton(전석),HR,"72,703.0","57,077.0","53,016.0","182,796.0",호표 21,,A,,,T
58CD44473821DFEDE337851D2B9313F513BCC01A,불도저(타이어),33ton,HR,"85,628.0","57,077.0","62,674.0","205,379.0",호표 22,,A,,,T
58CD44473821DFEDE337851D2B9313F513BCC01B,불도저(타이어),33ton(암석),HR,"85,628.0","57,077.0","74,026.0","216,731.0",호표 23,,A,,,T
58CD44473821DFEDE337851D2B9313F513BCC018,불도저(타이어),33ton(전석),HR,"85,628.0","57,077.0","67,207.0","209,912.0",호표 24,,A,,,T
58CD44473821DFEDE33681,  (☞ 유압식 리퍼)----------,,,0.0,0.0,0.0,,호표 25,,,,,
58CD44473821DFEDE33684AE0E2813CE341FC6D4,유압식 리퍼,16ton,HR,0.0,0.0,"1,071.0","1,071.0",호표 26,,A,,,T
58CD44473821DFEDE33684AE0E281C2A386603EE,유압식 리퍼,19ton,HR,0.0,0.0,"1,354.0","1,354.0",호표 27,,A,,,T
58CD44473821DFEDE33684AE0E1F1D02E1500026,유압식 리퍼,23ton,HR,0.0,0.0,"1,500.0","1,500.0",호표 28,,A,,,T
58CD44473821DFEDE33684AE0E1F19A7B0B2C3C2,유압식 리퍼,27ton,HR,0.0,0.0,"1,748.0","1,748.0",호표 29,,A,,,T
58CD44473821DFEDE33684AE0E0D1552B41ACD6A,유압식 리퍼,32ton,HR,0.0,0.0,"2,123.0","2,123.0",호표 30,,A,,,T
